epoch,loss
1,0.056453961479876726
2,0.08021600118705205
3,0.055528750377041955
4,0.05509486475161144
5,0.06023387251687901
6,0.07651788754654783
7,0.054783327371946404
8,0.05503197173987116
9,0.05514668008046491
10,0.09345710004812904
11,0.05383326066657901
12,0.0740185733884573
13,0.055724888507808955
14,0.07148925813713244
15,0.05571671003209693
16,0.053615342027374675
17,0.06141258217394352
18,0.07210262146379266
19,0.07810132604624544
20,0.0550171857965844
21,0.05992122845990317
22,0.06295222848919886
23,0.05260185205510685
24,0.06001212155180318
25,0.05356363978769098
26,0.05242430538471256
27,0.051075892423146536
28,0.07050893056605544
29,0.05338765148605619
30,0.053409775166073814
31,0.05358998144843748
32,0.05526549422315189
33,0.05177669007597225
34,0.05159376867647682
35,0.05198068145130362
36,0.05224806083632367
37,0.07483676568205867
38,0.0530672911554575
39,0.051799834173704894
40,0.05486666677253587
41,0.04915449475603444
42,0.04976022905404014
43,0.05009080030556236
44,0.04933573064460818
45,0.05988429546622293
46,0.05354240084333079
47,0.05881502479314804
48,0.050687471005533426
49,0.07065224088728428
50,0.04921516762780292
51,0.05247739955250706
52,0.04953242911558066
53,0.0671452736215932
54,0.049070999691528935
55,0.05362987358655248
56,0.0491967774661524
57,0.05002947870109763
58,0.0631610993295908
59,0.04793992076468255
60,0.07012695553047317
61,0.05004552485687392
62,0.07153686069484268
63,0.04790578576337014
64,0.051799433172813485
65,0.049882987913276465
66,0.06609922434602465
67,0.049214376136660576
68,0.0624242185481957
69,0.04925285732107503
70,0.06735936525676932
71,0.04734189036701407
72,0.056964286869125705
73,0.04819111020437309
74,0.04912151063659361
75,0.05723565271390336
76,0.07296045257576875
77,0.051104835766766755
78,0.04981310452733721
79,0.046644133648702076
80,0.04782827690775905
81,0.046640733223674555
82,0.05064910876431635
83,0.04649517512215035
84,0.05359624698758125
85,0.05223530816978642
86,0.04678025961454425
87,0.05348850427461522
88,0.046521133676703484
89,0.04721324438495295
90,0.04996324769620385
91,0.048930633147912364
92,0.0465217207425407
93,0.04489659198692867
94,0.051691053568252494
95,0.04749350083459701
96,0.05102756925459419
97,0.046687082786645205
98,0.04310235507520182
99,0.06015195937028953
100,0.05026565731636116
