feature,importance
Revenue_trend_7d,0.34836596
Weekday_Saturday,0.1189107
Revenue_roll_mean_3,0.09719541
Month_11,0.06900784
Revenue_lag_1,0.059535094
Fans_lag_2,0.04517659
Day,0.04233369
Revenue_roll_std_3,0.031661965
Cluster_2_Ratio,0.030851249
Fans_roll_mean_7,0.028935567
Total_Engagements,0.021104004
Cluster_1_Ratio,0.017094418
IsMonthEnd,0.01013074
Revenue_roll_std_7,0.007111256
Quarter,0.006968741
Fan_growth_7d,0.0067723677
Fans_lag_14,0.006450832
Month_6,0.006002991
Revenue_roll_mean_14,0.0050378926
Revenue_roll_mean_7,0.005029695
Revenue_lag_14,0.0049171816
Engagements_lag_2,0.00473283
Revenue_lag_2,0.0038428507
DayOfWeek,0.0037485925
Unique_Fans,0.0035812582
DayOfWeek_sin,0.0032798708
Month_5,0.0032531598
WeekOfYear,0.0026206537
Revenue_lag_7,0.0018772336
IsWeekend,0.0007827349
Year,0.00050745055
Revenue_lag_3,0.00047695747
DayOfWeek_cos,0.000442166
Engagements_roll_mean_7,0.00039825958
Month_cos,0.00028010417
Weekday_Wednesday,0.00027498844
Weekday_Tuesday,0.00021882635
Fans_roll_mean_3,0.00015546547
Engagements_roll_mean_14,0.00014316065
Month_sin,0.00013001185
Engagements_lag_14,0.00011881172
Fans_lag_3,0.000114899456
Engagements_lag_7,8.57197e-05
Fans_roll_mean_14,5.9797916e-05
Month_8,5.8413043e-05
Fans_lag_7,5.658178e-05
Cluster_0_Ratio,5.030963e-05
Revenue_roll_std_14,4.9527593e-05
Weekday_Thursday,3.0106958e-05
Engagements_roll_mean_3,2.042986e-05
Fans_lag_1,1.4614197e-05
Month_10,0.0
Month_9,0.0
Month_7,0.0
IsMonthStart,0.0
Month_2,0.0
Month_4,0.0
Month_3,0.0
Engagements_lag_1,0.0
Weekday_Sunday,0.0
Engagements_lag_3,0.0
Weekday_Monday,0.0
Month_12,0.0
